epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9533,2.62256,3.74814,2.46507,1e-05,0.00164,0,0,nan,nan,nan,0.0703297,0.0032967,0.0032967
2,120.594,2.57939,3.58984,2.51887,0.40214,0.01474,0.00086,0.0002,3.85811,110.536,5.64676,0.0401984,0.00649876,0.00649876
3,178.342,2.45902,3.49267,2.44215,0.00168,0.07991,0.00131,0.0004,nan,nan,nan,0.00993512,0.00956882,0.00956882
4,236.915,2.3934,3.42034,2.38107,0.21862,0.04626,0.00697,0.0027,2.94957,5.06242,3.08335,0.009406,0.009406,0.009406
5,292.109,2.27658,3.29277,2.29145,0.62096,0.01769,0.00937,0.00318,2.73973,3.73184,2.79011,0.009208,0.009208,0.009208
6,348.877,2.2883,3.27631,2.29608,0.41548,0.02555,0.01503,0.0045,nan,nan,nan,0.00901,0.00901,0.00901
7,408.626,2.23603,3.26182,2.28006,0.41393,0.01671,0.01279,0.00421,nan,nan,nan,0.008812,0.008812,0.008812
8,464.049,2.22375,3.21756,2.23896,0.64139,0.04488,0.02394,0.0077,nan,nan,nan,0.008614,0.008614,0.008614
9,521.122,2.20098,3.17001,2.19874,0.62381,0.07865,0.02991,0.00829,2.55597,3.98178,2.6518,0.008416,0.008416,0.008416
10,579.806,2.17618,3.1297,2.2068,0.66832,0.07278,0.03372,0.01288,2.4717,4.09266,2.51576,0.008218,0.008218,0.008218
11,635.789,2.14621,3.13306,2.16029,0.63914,0.04934,0.02024,0.00742,2.50041,3.48093,2.63903,0.00802,0.00802,0.00802
12,691.833,2.13562,3.11055,2.17329,0.65307,0.06632,0.03176,0.01135,2.49326,3.2814,2.58914,0.007822,0.007822,0.007822
13,746.625,2.13472,3.07605,2.16004,0.71018,0.08302,0.03719,0.01236,2.50268,3.46635,2.57456,0.007624,0.007624,0.007624
14,801.646,2.11416,3.0257,2.11812,0.4967,0.08182,0.03832,0.01475,2.41471,3.31465,2.45333,0.007426,0.007426,0.007426
15,861.901,2.10102,3.01374,2.12385,0.68594,0.06141,0.04656,0.01653,2.4295,3.22709,2.48643,0.007228,0.007228,0.007228
16,918.364,2.08347,3.00157,2.09461,0.30406,0.09396,0.04527,0.01662,2.40079,3.25736,2.4597,0.00703,0.00703,0.00703
17,974.243,2.05662,2.9475,2.06682,0.6595,0.0699,0.03782,0.01472,2.38382,3.22405,2.45583,0.006832,0.006832,0.006832
18,1029.44,2.03784,2.90555,2.06359,0.66874,0.07185,0.04314,0.01626,2.36774,3.08139,2.46232,0.006634,0.006634,0.006634
19,1084.32,2.01353,2.90276,2.05851,0.66918,0.09152,0.05536,0.02032,2.3406,3.03476,2.44342,0.006436,0.006436,0.006436
20,1144.83,2.02975,2.88702,2.03413,0.22774,0.07169,0.01667,0.00653,nan,nan,nan,0.006238,0.006238,0.006238
21,1199.93,1.97908,2.82284,1.99464,0.34474,0.06758,0.04969,0.02101,2.30093,3.13159,2.37794,0.00604,0.00604,0.00604
22,1256,1.98778,2.85658,2.03748,0.29647,0.09702,0.04664,0.01631,2.28179,3.03327,2.33711,0.005842,0.005842,0.005842
23,1312.89,1.93874,2.76592,1.9716,0.32929,0.13945,0.07898,0.03354,2.23713,2.98813,2.31965,0.005644,0.005644,0.005644
24,1374.18,1.93593,2.78046,1.97888,0.57358,0.11785,0.07222,0.03053,2.20838,2.86546,2.28241,0.005446,0.005446,0.005446
25,1431.1,1.92735,2.78213,1.96177,0.30171,0.1266,0.081,0.03233,2.20408,2.89423,2.32324,0.005248,0.005248,0.005248
26,1486.14,1.90583,2.70313,1.94312,0.51028,0.10541,0.07328,0.03138,2.27557,2.87892,2.37176,0.00505,0.00505,0.00505
27,1541.38,1.89498,2.7179,1.93758,0.31036,0.12248,0.06852,0.02694,2.18427,2.89635,2.28154,0.004852,0.004852,0.004852
28,1596.56,1.88513,2.65732,1.92728,0.70003,0.09451,0.08297,0.03526,2.24083,2.95391,2.28036,0.004654,0.004654,0.004654
29,1655.12,1.88728,2.65984,1.91061,0.51856,0.13454,0.08949,0.03391,2.16169,2.7965,2.28155,0.004456,0.004456,0.004456
